Agent,Erfolgsrate_Mittelwert,Erfolgsrate_Median,Erfolgsrate_Std,Erfolgsrate_Min,Erfolgsrate_Max,Kosten (USD)_Mittelwert,Kosten (USD)_Median,Kosten (USD)_Std,Kosten (USD)_Min,Kosten (USD)_Max,Token_Mittelwert,Token_Median,Token_Std,Token_Min,Token_Max,Dauer (s)_Mittelwert,Dauer (s)_Median,Dauer (s)_Std,Dauer (s)_Min,Dauer (s)_Max,Schritte_Mittelwert,Schritte_Median,Schritte_Std,Schritte_Min,Schritte_Max
MetaGPT,0.0667,0.0,0.2582,0,1,4.113,3.354,2.6416,1.363,10.45,804566.0,657448.0,498890.2639,266492,2046486,212.0745,112.938,324.6264,46.597,1362.573,75.9333,58.0,42.5768,31,180
OpenHands,0.2,0.0,0.414,0,1,0.1042,0.0927,0.0685,0.0136,0.2797,1631948.0,1593266.0,986322.4577,353798,3942575,722.2084,589.0113,566.2555,270.0337,2613.6942,97.4667,96.0,42.4144,43,202
SWE-Agent,0.4667,0.0,0.5164,0,1,0.0443,0.0363,0.0319,0.0141,0.1298,418133.3333,250324.0,447754.407,68524,1829952,12.3392,9.9716,8.8911,5.7219,42.2406,45.6667,39.0,22.9337,21,117
live-swe-agent,0.6,1.0,0.5071,0,1,0.0531,0.0288,0.0717,0.0084,0.2987,295761.2,102565.0,550704.9532,25159,2233118,175.9333,100.0,201.8212,57.0,847.0,50.8667,34.0,40.2277,22,181
